epoch,time,train/cls_loss,train/off_loss,train/placeholder,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/cls_loss,val/off_loss,val/placeholder,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
153,2137.38,4.87617,1.23128,0,0,0,0,0,5.14708,1.22323,0,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
154,2248.08,4.86915,1.23169,0,0,0,0,0,5.15254,1.22345,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
155,2360.74,4.87229,1.23301,0,0,0,0,0,5.15201,1.2236,0,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
156,2472.24,4.83164,1.22904,0,0,0,0,0,5.15499,1.22311,0,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
157,2584.57,4.881,1.23062,0,0,0,0,0,5.14835,1.22269,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
158,2695.36,4.85483,1.23038,0,0,0,0,0,5.16466,1.22371,0,0.014457,0.004819,0.014457,0.004819,0.014457,0.004819,0.014457,0.004819
159,2810.32,4.85187,1.22997,0,0,0,0,0,5.16727,1.2241,0,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
160,2925.4,4.83917,1.22803,0,0,0,0,0,5.15757,1.22428,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
161,3039.69,4.85251,1.23009,0,0,0,0,0,5.17295,1.22609,0,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
162,3152.46,4.86501,1.23158,0,0,0,0,0,5.17269,1.22563,0,0.014061,0.004687,0.014061,0.004687,0.014061,0.004687,0.014061,0.004687
163,3266.95,4.84186,1.22887,0,0,0,0,0,5.18011,1.22642,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
164,3377.25,4.80858,1.22548,0,0,0,0,0,5.17074,1.2255,0,0.013863,0.004621,0.013863,0.004621,0.013863,0.004621,0.013863,0.004621
165,3493.26,4.81263,1.22768,0,0,0,0,0,5.17926,1.22544,0,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
166,3606.6,4.84283,1.22866,0,0,0,0,0,5.18257,1.22608,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
